DateTime,FidalgoBay,Port Gamble,Case Inlet,Willapa Bay
06/01/16 00:00:00,7.577947,9.428513,10.512201,9.64148
06/01/16 00:10:00,7.73074,9.654282,10.966527,9.378137
06/01/16 00:20:00,7.871733,9.860748,11.410603,9.092646
06/01/16 00:30:00,7.999862,10.04649,11.842586,8.787506
06/01/16 00:40:00,8.114086,10.210131,12.258384,8.465386
06/01/16 00:50:00,8.213398,10.349715,12.65401,8.129015
06/01/16 01:00:00,8.296833,10.464354,13.027454,7.781064
06/01/16 01:10:00,8.363477,10.553249,13.374297,7.424041
06/01/16 01:20:00,8.412477,10.615451,13.692636,7.060196
06/01/16 01:30:00,8.443057,10.650739,13.978616,6.691458
06/01/16 01:40:00,8.454523,10.658994,14.230638,6.319409
06/01/16 01:50:00,8.446283,10.640643,14.445991,5.9453
06/01/16 02:00:00,8.417854,10.59627,14.622575,5.570106
06/01/16 02:10:00,8.368877,10.526371,14.759527,5.194636
06/01/16 02:20:00,8.299128,10.431606,14.855376,4.819653
06/01/16 02:30:00,8.20853,10.312534,14.909828,4.446036
06/01/16 02:40:00,8.097158,10.170427,14.922579,4.07493
06/01/16 02:50:00,7.965255,10.00604,14.896751,3.707897
06/01/16 03:00:00,7.81323,9.820339,14.834091,3.347029
06/01/16 03:10:00,7.641668,9.613946,14.735518,2.995024
06/01/16 03:20:00,7.45133,9.388544,14.601624,2.655203
06/01/16 03:30:00,7.243151,9.144784,14.433954,2.331469
06/01/16 03:40:00,7.018242,8.883646,14.233532,2.028199
06/01/16 03:50:00,6.777876,8.605632,14.001244,1.750077
06/01/16 04:00:00,6.523489,8.31268,13.739235,1.501885
06/01/16 04:10:00,6.25666,8.005376,13.448004,1.288252
06/01/16 04:20:00,5.979106,7.684822,13.129919,1.113395
06/01/16 04:30:00,5.692657,7.351637,12.785289,0.980868
06/01/16 04:40:00,5.399247,7.008244,12.416652,0.893329
06/01/16 04:50:00,5.100886,6.655528,12.024826,0.85237
06/01/16 05:00:00,4.799645,6.294467,11.610496,0.858393
06/01/16 05:10:00,4.497628,5.928038,11.176517,0.910572
06/01/16 05:20:00,4.196952,5.557572,10.722965,1.006884
06/01/16 05:30:00,3.899721,5.185178,10.253031,1.144216
06/01/16 05:40:00,3.608003,4.812499,9.767773,1.318544
06/01/16 05:50:00,3.323806,4.443202,9.268336,1.525153
06/01/16 06:00:00,3.049057,4.079188,8.75862,1.758904
06/01/16 06:10:00,2.785579,3.723061,8.239353,2.014503
06/01/16 06:20:00,2.53507,3.376892,7.714981,2.286769
06/01/16 06:30:00,2.299092,3.044481,7.18667,2.57087
06/01/16 06:40:00,2.079047,2.727809,6.659369,2.862518
06/01/16 06:50:00,1.876171,2.42934,6.135547,3.158106
06/01/16 07:00:00,1.691522,2.150934,5.617866,3.454783
06/01/16 07:10:00,1.525974,1.895636,5.111722,3.75046
06/01/16 07:20:00,1.380209,1.664826,4.619118,4.043762
06/01/16 07:30:00,1.254724,1.4601,4.14542,4.333928
06/01/16 07:40:00,1.149824,1.282485,3.692665,4.620673
06/01/16 07:50:00,1.065636,1.133571,3.265867,4.90403
06/01/16 08:00:00,1.002106,1.013718,2.867515,5.184181
06/01/16 08:10:00,0.95902,0.923297,2.500018,5.461308
06/01/16 08:20:00,0.936004,0.862304,2.167294,5.735458
06/01/16 08:30:00,0.932549,0.830745,1.870527,6.006435
06/01/16 08:40:00,0.948014,0.828135,1.612618,6.273744
06/01/16 08:50:00,0.981653,0.854611,1.394166,6.536556
06/01/16 09:00:00,1.032622,0.909565,1.216941,6.793718
06/01/16 09:10:00,1.1,0.991727,1.081137,7.043789
06/01/16 09:20:00,1.182805,1.099943,0.98681,7.285096
06/01/16 09:30:00,1.280006,1.233122,0.934069,7.515804
06/01/16 09:40:00,1.390544,1.389416,0.92221,7.733986
06/01/16 09:50:00,1.513337,1.567552,0.952179,7.937694
06/01/16 10:00:00,1.647299,1.766012,1.023428,8.125011
06/01/16 10:10:00,1.791346,1.983607,1.134649,8.294102
06/01/16 10:20:00,1.944405,2.218016,1.283734,8.443238
06/01/16 10:30:00,2.105423,2.467938,1.469258,8.570822
06/01/16 10:40:00,2.273367,2.732118,1.688582,8.675395
06/01/16 10:50:00,2.44723,3.007927,1.940293,8.755648
06/01/16 11:00:00,2.626033,3.293959,2.221367,8.810436
06/01/16 11:10:00,2.80882,3.588309,2.530459,8.838789
06/01/16 11:20:00,2.99466,3.88949,2.864234,8.839945
06/01/16 11:30:00,3.182643,4.194439,3.221399,8.81338
06/01/16 11:40:00,3.371874,4.501504,3.598321,8.758851
06/01/16 11:50:00,3.561472,4.808986,3.993688,8.676444
06/01/16 12:00:00,3.750562,5.113624,4.403556,8.56661
06/01/16 12:10:00,3.938275,5.41366,4.826506,8.4302
06/01/16 12:20:00,4.123737,5.706845,5.258275,8.268478
06/01/16 12:30:00,4.306074,5.991437,5.697277,8.083115
06/01/16 12:40:00,4.484403,6.26438,6.138967,7.876152
06/01/16 12:50:00,4.657836,6.52416,6.581589,7.64994
06/01/16 13:00:00,4.825476,6.769336,7.020427,7.407054
06/01/16 13:10:00,4.986423,6.997459,7.453622,7.15019
06/01/16 13:20:00,5.139778,7.207531,7.876476,6.882044
06/01/16 13:30:00,5.284643,7.398378,8.287157,6.605202
06/01/16 13:40:00,5.420136,7.569345,8.68123,6.322028
06/01/16 13:50:00,5.545395,7.719212,9.057068,6.03459
06/01/16 14:00:00,5.659591,7.847874,9.410757,5.744607
06/01/16 14:10:00,5.761935,7.95533,9.741049,5.453441
06/01/16 14:20:00,5.851698,8.041289,10.044781,5.162139
06/01/16 14:30:00,5.928219,8.106199,10.321218,4.871503
06/01/16 14:40:00,5.990919,8.150535,10.5681,4.582216
06/01/16 14:50:00,6.039317,8.174694,10.785262,4.29498
06/01/16 15:00:00,6.073043,8.179447,10.971393,4.010675
06/01/16 15:10:00,6.091848,8.166591,11.126631,3.730513
06/01/16 15:20:00,6.095617,8.137179,11.251235,3.456176
06/01/16 15:30:00,6.08438,8.091861,11.345162,3.189912
06/01/16 15:40:00,6.058317,8.031383,11.409324,2.934589
06/01/16 15:50:00,6.017765,7.95615,11.4443,2.693683
06/01/16 16:00:00,5.963224,7.866838,11.451082,2.471209
