"","Sample.Shorthand","cv"
"1","CI-B",0.589661345352114
"2","CI-E",0.770938982559711
"3","FB-B",0.444104218259404
"4","FB-E",0.506808833217072
"5","PG-B",0.483517102334376
"6","PG-E",0.771007250948918
"7","WB-B",0.523368262874932
"8","WB-E",0.501501694945989
