"","Protein","CI-B","CI-E","FB-B","FB-E","PG-B","PG-E","WB-B","WB-E"
"1","Arachidonate",0.835285641028186,0.566519574507897,0.43738975612639,0.327697295095314,0.4582988794972,0.640521471325712,0.480832003437904,0.578930608730002
"2","Catalase",0.609453726038558,0.516581369293982,0.469741021122935,0.42436818527587,0.497801559729598,0.661390150120364,0.496077622500736,0.430094757812965
"3","Cytochrome",0.741782523333942,0.569868109598299,0.378316564209839,0.432197478147446,0.26273462904706,0.582106890513247,0.561559028544543,0.464260434736997
"4","Glycogen",0.545797047675996,0.491994283618812,0.348026767916888,0.34945814153817,0.36958071784182,0.609938329157141,0.507697046705671,0.465329421616688
"5","HSP70",0.585189403189234,0.609654072028757,0.1957833063451,0.326563300568391,0.370144710632585,0.442191871452,0.451532609641045,0.38343935657158
"6","HSP90-alpha",0.697909068994716,0.61563505768559,0.320792789522055,0.39825007919514,0.447781928146913,0.515173418557619,0.497753230660706,0.485399251077059
"7","PDI",0.631082472897554,0.500736039241952,0.382267413821073,0.307577556644547,0.383769550953342,0.698849809484318,0.410762283189523,0.429124161764664
"8","Peroxiredoxin-1",0.561317448906742,0.458743087401482,0.309291125947136,0.329270986477781,0.422053940905458,0.458929451425629,0.397747727400022,0.358535338187211
"9","Puromycin-sensitive",0.688760756464946,0.524224793487719,0.394520762645301,0.396670423755787,0.423160298645643,0.512980194705127,0.440307633925432,0.415934046114686
"10","Ras-related",0.608350217961771,0.433075966155287,0.304471016513684,0.328786940593857,0.416339936479246,0.632042111362655,0.567001902623913,0.538296917597596
"11","Sodium/potassium-transporting",0.698313028828902,0.583050977204348,0.299717615480313,0.35952776913227,0.400719838314853,0.620300584932425,0.509362380304689,0.444228740583131
"12","Superoxide",0.488674097784148,0.533030047462144,0.48547605206933,0.574139836866587,0.298300641796442,0.71143766584499,0.463052309870505,0.443821695728609
"13","Trifunctional",0.605797153025391,0.482842509771197,0.409456993681251,0.376193722090349,0.456686926417915,0.630870764975088,0.520827743791555,0.525168351682672
