"","Sample.Shorthand","cv"
"1","CI-B",0.658976297156933
"2","CI-E",0.90899337493995
"3","FB-B",0.472275254590955
"4","FB-E",0.501503439511388
"5","PG-B",0.516164384179812
"6","PG-E",0.818624617621397
"7","WB-B",0.579296095308763
"8","WB-E",0.548201842590768
