File,TIC,Notes
geoduck 1,1.84E+09,
geoduck 2,5.97E+08,no data
geoduck 3,2.13E+09,
geoduck 4,1.66E+09,
geoduck 5,1.72E+09,
geoduck 6,1.19E+09,
geoduck 7,1.92E+09,
geoduck 8,1.68E+09,
geoduck 9,1.94E+09,
geoduck 10,1.52E+09,
geoduck 11,1.78E+09,
geoduck 12,1.63E+09,
geoduck 13,1.47E+09,
geoduck 14,1.22E+09,
geoduck 15,2.10E+09,
geoduck 17,1.79E+09,
geoduck 18,1.63E+09,
geoduck 19,1.81E+09,
geoduck 20,1.69E+09,
geoduck 21,5.59E+08,no data
oyster 1,1.52E+09,
oyster 2,1.48E+09,
oyster 3,,
oyster 4,,
oyster 5,1.48E+09,chromatography looks weird
oyster 6,2.67E+09,chromatography looks weird
oyster 7,1.53E+09,
oyster 8,1.71E+09,
oyster 9,1.75E+09,chromatography looks weird
oyster 10,2.70E+09,
oyster 11,1.65E+09,chromatography looks weird
oyster 12,1.63E+09,
oyster 13,1.54E+09,
oyster 14,2.63E+09,chromatography looks weird
oyster 15,1.52E+09,
oyster 16,2.22E+09,
oyster 17,1.56E+09,first 30 minutes missing
oyster 18,1.88E+09,chromatography looks weird
oyster 19,1.37E+09,
oyster 20,2.47E+09,
oyster 21,6.91E+08,no data 
oyster 22,2.26E+08,no data
oyster 23,5.98E+07,no data
oyster 24,5.66E+08,
oyster 25,6.12E+09,
